Batch,scan005
EV300,140607
Data Mode,A  None
Sample,Sample001
Cycle,Cycle01
Date Collected,1/18/17
Time Collected,3:38:15PM
Entries,Data Points
nm,A
190,0.2143
190.2,0.2671
190.4,0.2767
190.6,0.186
190.8,0.2442
191,0.1437
191.2,0.265
191.4,0.1607
191.6,0.2401
191.8,0.3273
192,0.3138
192.2,0.2866
192.4,0.3076
192.6,0.21
192.8,0.2497
193,0.2238
193.2,0.2377
193.4,0.2223
193.6,0.2485
193.8,0.2373
194,0.235
194.2,0.259
194.4,0.2709
194.6,0.2415
194.8,0.1897
195,0.1892
195.2,0.195
195.4,0.2027
195.6,0.2282
195.8,0.2745
196,0.2975
196.2,0.2893
196.4,0.292
196.6,0.2875
196.8,0.2708
197,0.3018
197.2,0.2392
197.4,0.3087
197.6,0.1902
197.8,0.299
198,0.2933
198.2,0.3054
198.4,0.2702
198.6,0.2572
198.8,0.2397
199,0.2138
199.2,0.2472
199.4,0.2509
199.6,0.2787
199.8,0.3008
200,0.255
200.2,0.2677
200.4,0.2907
200.6,0.227
200.8,0.2561
201,0.2413
201.2,0.2794
201.4,0.2374
201.6,0.2096
201.8,0.2935
202,0.2836
202.2,0.307
202.4,0.2836
202.6,0.3121
202.8,0.2685
203,0.2785
203.2,0.2903
203.4,0.2398
203.6,0.2684
203.8,0.2746
204,0.296
204.2,0.2704
204.4,0.2787
204.6,0.2898
204.8,0.319
205,0.2925
205.2,0.2698
205.4,0.2876
205.6,0.2887
205.8,0.308
206,0.2752
206.2,0.2978
206.4,0.3163
206.6,0.2524
206.8,0.2949
207,0.2748
207.2,0.3113
207.4,0.3085
207.6,0.3058
207.8,0.3002
208,0.2901
208.2,0.2484
208.4,0.3058
208.6,0.3123
208.8,0.2898
209,0.3155
209.2,0.269
209.4,0.3437
209.6,0.2952
209.8,0.2949
210,0.3231
210.2,0.3041
210.4,0.2777
210.6,0.3196
210.8,0.3005
211,0.2878
211.2,0.3363
211.4,0.3119
211.6,0.2995
211.8,0.3322
212,0.3199
212.2,0.3161
212.4,0.3313
212.6,0.2805
212.8,0.35
213,0.323
213.2,0.3311
213.4,0.3043
213.6,0.3655
213.8,0.3637
214,0.3556
214.2,0.3382
214.4,0.3613
214.6,0.3652
214.8,0.3791
215,0.4146
215.2,0.4113
215.4,0.4203
215.6,0.4226
215.8,0.4411
216,0.4321
216.2,0.4553
216.4,0.4923
216.6,0.4845
216.8,0.5194
217,0.5079
217.2,0.54
217.4,0.578
217.6,0.5667
217.8,0.6003
218,0.585
218.2,0.6031
218.4,0.6382
218.6,0.6635
218.8,0.6624
219,0.6974
219.2,0.7088
219.4,0.7418
219.6,0.7659
219.8,0.7764
220,0.8172
220.2,0.8433
220.4,0.8508
220.6,0.8763
220.8,0.8836
221,0.9145
221.2,0.9349
221.4,0.9594
221.6,0.9758
221.8,1.0022
222,1.0178
222.2,1.0323
222.4,1.043
222.6,1.055
222.8,1.0652
223,0.904
223.2,0.9187
223.4,0.906
223.6,0.9209
223.8,0.9145
224,0.9112
224.2,0.9163
224.4,0.9052
224.6,0.8985
224.8,0.8903
225,0.8854
225.2,0.8749
225.4,0.8567
225.6,0.8511
225.8,0.8422
226,0.832
226.2,0.8235
226.4,0.8118
226.6,0.8059
226.8,0.7977
227,0.7879
227.2,0.7822
227.4,0.7693
227.6,0.7645
227.8,0.755
228,0.7458
228.2,0.7406
228.4,0.7342
228.6,0.7269
228.8,0.7219
229,0.7167
229.2,0.7122
229.4,0.7086
229.6,0.7057
229.8,0.7027
230,0.6993
230.2,0.6956
230.4,0.6921
230.6,0.6879
230.8,0.6845
231,0.6802
231.2,0.6772
231.4,0.674
231.6,0.6707
231.8,0.6691
232,0.6662
232.2,0.6632
232.4,0.6596
232.6,0.6561
232.8,0.6526
233,0.6497
233.2,0.6478
233.4,0.6436
233.6,0.6402
233.8,0.6365
234,0.6337
234.2,0.6318
234.4,0.6287
234.6,0.6262
234.8,0.6235
235,0.6213
235.2,0.6181
235.4,0.6155
235.6,0.6133
235.8,0.6103
236,0.6078
236.2,0.6054
236.4,0.6038
236.6,0.6014
236.8,0.5987
237,0.5969
237.2,0.5946
237.4,0.5931
237.6,0.5901
237.8,0.5885
238,0.586
238.2,0.5842
238.4,0.5825
238.6,0.5804
238.8,0.5792
239,0.5772
239.2,0.5751
239.4,0.5741
239.6,0.5727
239.8,0.5714
240,0.5692
240.2,0.5672
240.4,0.5663
240.6,0.5647
240.8,0.5628
241,0.5613
241.2,0.5603
241.4,0.5586
241.6,0.5573
241.8,0.5556
242,0.5546
242.2,0.5522
242.4,0.551
242.6,0.5494
242.8,0.5482
243,0.5477
243.2,0.5465
243.4,0.5462
243.6,0.5452
243.8,0.5445
244,0.5451
244.2,0.5448
244.4,0.5447
244.6,0.5446
244.8,0.5441
245,0.5436
245.2,0.5426
245.4,0.5416
245.6,0.5408
245.8,0.5401
246,0.5385
246.2,0.5371
246.4,0.5354
246.6,0.5334
246.8,0.5319
247,0.53
247.2,0.5287
247.4,0.5273
247.6,0.5261
247.8,0.5254
248,0.5246
248.2,0.5236
248.4,0.523
248.6,0.5232
248.8,0.5226
249,0.5226
249.2,0.5222
249.4,0.5224
249.6,0.5222
249.8,0.5218
250,0.5213
250.2,0.521
250.4,0.5206
250.6,0.5201
250.8,0.5192
251,0.5183
251.2,0.5182
251.4,0.5174
251.6,0.516
251.8,0.515
252,0.514
252.2,0.5129
252.4,0.5123
252.6,0.5115
252.8,0.5105
253,0.5101
253.2,0.5093
253.4,0.5089
253.6,0.5082
253.8,0.5073
254,0.5066
254.2,0.5065
254.4,0.5054
254.6,0.5049
254.8,0.5033
255,0.5033
255.2,0.5023
255.4,0.5011
255.6,0.5
255.8,0.499
256,0.4977
256.2,0.4972
256.4,0.4973
256.6,0.4956
256.8,0.495
257,0.494
257.2,0.4929
257.4,0.4922
257.6,0.492
257.8,0.4917
258,0.4907
258.2,0.4907
258.4,0.4903
258.6,0.4898
258.8,0.4893
259,0.489
259.2,0.4887
259.4,0.489
259.6,0.489
259.8,0.4888
260,0.4885
260.2,0.4887
260.4,0.4888
260.6,0.4891
260.8,0.4896
261,0.4901
261.2,0.4907
261.4,0.4921
261.6,0.4931
261.8,0.4944
262,0.4952
262.2,0.4964
262.4,0.4974
262.6,0.4984
262.8,0.4991
263,0.4991
263.2,0.4994
263.4,0.4996
263.6,0.5
263.8,0.4995
264,0.4995
264.2,0.4994
264.4,0.4987
264.6,0.4979
264.8,0.4977
265,0.4929
265.2,0.492
265.4,0.4912
265.6,0.4906
265.8,0.4893
266,0.4876
266.2,0.4867
266.4,0.4855
266.6,0.4842
266.8,0.4832
267,0.4816
267.2,0.4809
267.4,0.4804
267.6,0.4797
267.8,0.4789
268,0.4782
268.2,0.4778
268.4,0.477
268.6,0.4766
268.8,0.4759
269,0.475
269.2,0.4745
269.4,0.4738
269.6,0.4727
269.8,0.4723
270,0.4725
270.2,0.4726
270.4,0.4736
270.6,0.4744
270.8,0.4762
271,0.478
271.2,0.4796
271.4,0.4819
271.6,0.4839
271.8,0.4854
272,0.4867
272.2,0.4895
272.4,0.4915
272.6,0.4943
272.8,0.4971
273,0.5003
273.2,0.5031
273.4,0.5056
273.6,0.5074
273.8,0.5091
274,0.5097
274.2,0.5112
274.4,0.5116
274.6,0.5124
274.8,0.5128
275,0.5127
275.2,0.5121
275.4,0.5112
275.6,0.5099
275.8,0.5089
276,0.5068
276.2,0.5046
276.4,0.5027
276.6,0.5002
276.8,0.4973
277,0.4949
277.2,0.4917
277.4,0.4884
277.6,0.4855
277.8,0.4826
278,0.4792
278.2,0.4754
278.4,0.4719
278.6,0.4684
278.8,0.4652
279,0.4623
279.2,0.4586
279.4,0.4548
279.6,0.4516
279.8,0.4485
280,0.4452
280.2,0.4414
280.4,0.4385
280.6,0.4358
280.8,0.4325
281,0.4302
281.2,0.4279
281.4,0.4252
281.6,0.4233
281.8,0.4215
282,0.4196
282.2,0.4181
282.4,0.4165
282.6,0.4151
282.8,0.4142
283,0.4131
283.2,0.4126
283.4,0.412
283.6,0.4119
283.8,0.4121
284,0.41
284.2,0.4094
284.4,0.408
284.6,0.4069
284.8,0.406
285,0.4055
285.2,0.4047
285.4,0.4035
285.6,0.4027
285.8,0.4017
286,0.4002
286.2,0.3988
286.4,0.3964
286.6,0.3944
286.8,0.3914
287,0.3891
